,0
0,Arizona
1,Arkansas
2,Illinois
3,Indiana
4,Iowa
5,Maine
6,Maryland
7,Massachusetts
8,Michigan
9,Minnesota
10,Mississippi
11,Nevada
12,New Hampshire
13,New Jersey
14,Oklahoma
15,Pennsylvania
16,Rhode Island
17,Tennessee
18,Utah
19,Vermont
20,Virginia
21,West Virginia
22,Wisconsin
